"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Amount (Out)","Token (Out)","Amount (In)","Token (In)","Swapped Rate","Swapped Pair","DEX"
"0xbbbfdc500e21894702a3a94824c69956fc649574fee5f08e6434cfc7641bf1e9","1614544175",2021-02-28 20:29:35,Sell,2.4492E+22, , 2.12672765463355E+22, ,0.86833564, per ,
"0x5c13f90b36c663ff8d92d0cfbe60c7918e6f391adcd887a31173a5a944c5f220","1614544187",2021-02-28 20:29:47,Buy,6.60389127931517E+20, , 7.56886619241602E+20, ,0.87250734, per ,
"0x568307151d06829dfaf7452f4c1aadcffc716f7118c7fe130cbfedbc71a0f01c","1614544256",2021-02-28 20:30:56,Sell,2.43690876584983E+21, , 2.11330180635196E+21, ,0.86720596, per ,
"0xf99d91b8e52a27638bfb5a925361a7181f00ea1e7ff0cb0a9434c6ffd7b7499b","1614544256",2021-02-28 20:30:56,Sell,1.5992E+22, , 1.38553151763459E+22, ,0.86639039, per ,
"0x9d88931ffad072caef85b4ceab1694e4b28dc843bf7e22e4e80c69aad61c5890","1614544293",2021-02-28 20:31:33,Buy,3.39883118890785E+20, , 3.90259160707365E+20, ,0.87091644, per ,
"0x333aada708c3ec50ec06962f10ea72c99f4711b30f5125e4ebf1d53c5287a20d","1614544298",2021-02-28 20:31:38,Buy,5.7677807E+20, , 6.62229979109262E+20, ,0.87096339, per ,
"0x25972eb60f8909b9d65d55da47d79ec11a21fa0a7a712afd48f21469f95ab4a7","1614544298",2021-02-28 20:31:38,Sell,4164.99167496154, HOPR, 3605.1791504479, DAI,0.86559096,DAI per HOPR,Uniswap v2
"0x116b26a31a1905f5eacc7ec3ad3ebb3424b5b6435e1d924c6353ed082ec811c0","1614544422",2021-02-28 20:33:42,Sell,15992, HOPR, 13828.3024097688, DAI,0.86470125,DAI per HOPR,Uniswap v2
"0xb99fbea168d737aaa73ff12b8304162103e5fce72751d7028fd592405805ee64","1614544432",2021-02-28 20:33:52,Buy,970.107578832106, DAI, 1116.0264798355, HOPR,0.86925140,DAI per HOPR,Uniswap v2
"0xd709a4b1bbf469f529e07feca309fe845b677e3ec5718f90b11dfcf53175e409","1614544432",2021-02-28 20:33:52,Sell,48857.6883072461, HOPR, 42112.7338481191, DAI,0.86194692,DAI per HOPR,Uniswap v2
"0x0ffe4ae34fb409bcabe0ea265db11ee91bf7566b3d9dbd24f10117760d322241","1614544455",2021-02-28 20:34:15,Buy,941.470197674239, DAI, 1088.36748720339, HOPR,0.86502970,DAI per HOPR,Uniswap v2
"0x4ea5f33bc8f469f3446b67685c0f5e3e4a6882d008fa52822516faa6ec667071","1614544492",2021-02-28 20:34:52,Buy,400, DAI, 462.375228965814, HOPR,0.86509825,DAI per HOPR,Uniswap v2
"0x3e8f05970e1f7c64513b09a161eb2cafbb9d8cefd1175e518cf535e495d7d62d","1614544521",2021-02-28 20:35:21,Buy,277.569337653884, DAI, 320.840128002159, HOPR,0.86513286,DAI per HOPR,Uniswap v2
"0xdd2a2fa5c59f3e900247176d2a88d61b67ddba911eda978c66571c2850be9eec","1614544586",2021-02-28 20:36:26,Buy,138.816661995025, DAI, 160.453098626459, HOPR,0.86515414,DAI per HOPR,Uniswap v2
"0xa3c04e23aaaa0ee97b5902bdc9d3ef48254427a17e601bd7909f4119852e9463","1614544765",2021-02-28 20:39:25,Buy,485.462783924294, DAI, 561.108001918557, HOPR,0.86518599,DAI per HOPR,Uniswap v2
"0xcbed2bb87130d04f2ecd4802272fb273c434ff6b0c9278f143bb44b7f8ff3e8b","1614544802",2021-02-28 20:40:02,Buy,562.40567866963, DAI, 650, HOPR,0.86523951,DAI per HOPR,Uniswap v2
"0x3b78f8976ea7fa408dac879ca5a2954921e75fb2ad548b130a7ab08c0e7de788","1614544918",2021-02-28 20:41:58,Buy,1984.80148037692, DAI, 2293.58844997173, HOPR,0.86536950,DAI per HOPR,Uniswap v2
"0x58d249b85ed9f09e3178a0f59f57b43ea9bd5d1a65e04e06319f3289715a093d","1614544932",2021-02-28 20:42:12,Buy,25.9641707523439, DAI, 30, HOPR,0.86547236,DAI per HOPR,Uniswap v2
"0x1b75052dda18b63ccf4fbdde9540ec888521dc011aacb3042daae7585f9d4406","1614544970",2021-02-28 20:42:50,Buy,9069.99419291246, DAI, 10474.2048767989, HOPR,0.86593630,DAI per HOPR,Uniswap v2
"0x984c038fab0be402458eab80fcad28cf7163e9a3e351a8ed6a75e1462aa1a14a","1614545042",2021-02-28 20:44:02,Sell,7125.98, HOPR, 6134.74061429508, DAI,0.86089782,DAI per HOPR,Uniswap v2
"0x4e0c054f57430d0ba464b3c1e6eaca2d9bb3e576e75d44bb41969a6914faa5a6","1614545189",2021-02-28 20:46:29,Buy,865.815868525664, DAI, 1000, HOPR,0.86581587,DAI per HOPR,Uniswap v2
"0xb57045b71d6848ca1c98aa25e9c2653a863ed59a566bd7c941b69def091adf74","1614545372",2021-02-28 20:49:32,Buy,416.887474753059, DAI, 481.460227294882, HOPR,0.86588144,DAI per HOPR,Uniswap v2
"0x4aa26709951720541df6aa7dbbf86cc9823dbacd3bfd256b70c3566b93d1c93a","1614545398",2021-02-28 20:49:58,Sell,5992, HOPR, 5155.83378780696, DAI,0.86045290,DAI per HOPR,Uniswap v2
"0x8ce23f8beddd46bb90e701866368330fec66f393389321fc4b70ab0362881e64","1614545406",2021-02-28 20:50:06,Buy,541.239053104934, DAI, 625.419224599296, HOPR,0.86540201,DAI per HOPR,Uniswap v2
"0xbce5157c8768a6e47eb673f247ba3a9fa5b224e5656ddc05e34229fbaa618283","1614545660",2021-02-28 20:54:20,Sell,693.875, HOPR, 0.439309018908296, ETH,0.00063312,ETH per HOPR,Uniswap v2
"0x41220934a260c09d5c8845695dcf1684ce4cc97ff97283ad48bf5eac8e14cf3a","1614545660",2021-02-28 20:54:20,Buy,711.689707351571, DAI, 822.319665444364, HOPR,0.86546599,DAI per HOPR,Uniswap v2
"0x59aebd98a7d61421a64f17048ae6a5dd6f560a0ff46a658827e69f9556818c51","1614545858",2021-02-28 20:57:38,Buy,865.546551506238, DAI, 1000, HOPR,0.86554655,DAI per HOPR,Uniswap v2
"0x57099ff584f3527542fbbb51511aa171038db2f9a84a0beb9ab033b0da822566","1614545872",2021-02-28 20:57:52,Buy,1399.85881725967, DAI, 1617.09585553825, HOPR,0.86566224,DAI per HOPR,Uniswap v2
"0x0c8d2d3b515490430841a964d69f0ba48e711cd3c510521577c9ef71fc23ca58","1614545872",2021-02-28 20:57:52,Buy,699.906752939135, DAI, 808.421524843454, HOPR,0.86576957,DAI per HOPR,Uniswap v2
"0x734e4728a6e5177fc7ae3be3d320adbf2b8b37ce034cd31af2554fe91ce3c1a7","1614545948",2021-02-28 20:59:08,Buy,105389.985315864, DAI, 120973.589419324, HOPR,0.87118177,DAI per HOPR,Uniswap v2
"0x51ba1865ae3eb38ea1bfd834cba608fb1e442e8ce9955c92c8289b7a9ae812a5","1614545948",2021-02-28 20:59:08,Sell,4000, HOPR, 3484.71089289041, DAI,0.87117772,DAI per HOPR,Uniswap v2
"0xc6462a82b563537a9461ee25d9d73471570fa9f3a9ddd58d610fb90710ff7058","1614545948",2021-02-28 20:59:08,Buy,3.32894419737041E+22, , 3.79169423888104E+22, ,0.87795692, per ,
"0xb32767e255a74caf8edcb1532e7fda32f695a1eae36ccff19bed701cd262c90f","1614545948",2021-02-28 20:59:08,Buy,9.8630150089371E+22, , 1.11478562112748E+23, ,0.88474545, per ,
